[Organism]	[All genes]	[Prot genes]	[All pseudo -genes]	[Non prot genes]	[EC#]	[GO terms]	[SAGE tags]	[RNA Seq]	[ChIP chip]	[RT- PCR]	[ESTs]	[SNPs]	[Ortho logs]	[Micro arrays]	[Prote omics]	[TFBS]	[Comm unity entries]	[Data source]	[Project]	[Isolates]	[Is annotated]	[Is Reference Strain]	[Organism]	[NCBI taxon ID]	[Genome version]	[Mega base Pairs]	[Is published]	[Fasta Download Link]	[GFF Download Link]	[Gene Details Download Link]	
<i>Albugo laibachii</i>  Nc14	14961	14624	830	337	-	6304	-	-	-	-	-	-	12891	-	-	-	-	Ensembl	FungiDB	143	1	1	Albugo laibachii Nc14	890382	2013-12-07	   32.77	1	http://FungiDB.org/common/downloads/Current_Release/Alaibachii_Nc14/fasta/data/FungiDB-24_Alaibachii_Nc14_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Alaibachii_Nc14/gff/data/FungiDB-24_Alaibachii_Nc14.gff	http://FungiDB.org/common/downloads/Current_Release/Alaibachii_Nc14/txt/FungiDB-24_Alaibachii_Nc14Gene.txt	
<i>Allomyces macrogynus</i>  ATCC 38327	20001	19467	14	534	-	9750	-	-	-	-	1962	-	17555	-	-	-	-	Broad	FungiDB	22	1	1	Allomyces macrogynus ATCC 38327	578462	3	   57.12	0	http://FungiDB.org/common/downloads/Current_Release/Amacrogynus_ATCC38327/fasta/data/FungiDB-24_Amacrogynus_ATCC38327_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Amacrogynus_ATCC38327/gff/data/FungiDB-24_Amacrogynus_ATCC38327.gff	http://FungiDB.org/common/downloads/Current_Release/Amacrogynus_ATCC38327/txt/FungiDB-24_Amacrogynus_ATCC38327Gene.txt	
<i>Aspergillus nidulans</i>  FGSC A4	10931	10751	68	180	-	10675	-	-	-	-	3646	-	10714	-	-	-	11	AspGD	FungiDB	13085	1	1	Aspergillus nidulans FGSC A4	227321	s10-m01-r07	   30.48	1	http://FungiDB.org/common/downloads/Current_Release/Anidulans_FGSCA4/fasta/data/FungiDB-24_Anidulans_FGSCA4_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Anidulans_FGSCA4/gff/data/FungiDB-24_Anidulans_FGSCA4.gff	http://FungiDB.org/common/downloads/Current_Release/Anidulans_FGSCA4/txt/FungiDB-24_Anidulans_FGSCA4Gene.txt	
<i>Aspergillus niger</i>  ATCC 1015	11223	10947	5	276	-	6399	-	-	-	-	2042	-	10671	-	-	-	-	JGI	FungiDB	17372	1	0	Aspergillus niger ATCC 1015	380704	2011-10-12	   34.85	1	http://FungiDB.org/common/downloads/Current_Release/Aniger_ATCC1015/fasta/data/FungiDB-24_Aniger_ATCC1015_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Aniger_ATCC1015/gff/data/FungiDB-24_Aniger_ATCC1015.gff	http://FungiDB.org/common/downloads/Current_Release/Aniger_ATCC1015/txt/FungiDB-24_Aniger_ATCC1015Gene.txt	
<i>Aspergillus niger</i>  CBS 513.88	14351	14082	16	269	-	14058	-	-	-	-	3295	-	11177	-	-	-	-	AspGD	FungiDB	10206	1	1	Aspergillus niger CBS 513.88	425011	s01-m04-r48	   33.98	1	http://FungiDB.org/common/downloads/Current_Release/Aniger_CBS513-88/fasta/data/FungiDB-24_Aniger_CBS513-88_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Aniger_CBS513-88/gff/data/FungiDB-24_Aniger_CBS513-88.gff	http://FungiDB.org/common/downloads/Current_Release/Aniger_CBS513-88/txt/FungiDB-24_Aniger_CBS513-88Gene.txt	
<i>Aspergillus oryzae</i>  RIB40	12164	11902	11	262	571	6783	-	-	-	-	6057	-	11901	-	-	-	-	AspGD	FungiDB	17404	1	1	Aspergillus oryzae RIB40	510516	2015-04-13	   37.91	1	http://FungiDB.org/common/downloads/Current_Release/AoryzaeRIB40/fasta/data/FungiDB-24_AoryzaeRIB40_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/AoryzaeRIB40/gff/data/FungiDB-24_AoryzaeRIB40.gff	http://FungiDB.org/common/downloads/Current_Release/AoryzaeRIB40/txt/FungiDB-24_AoryzaeRIB40Gene.txt	
<i>Aspergillus terreus</i>  NIH2624	10703	10401	2	302	-	6076	-	-	-	-	2213	-	9898	-	-	-	-	Broad	FungiDB	10374	1	1	Aspergillus terreus NIH2624	341663	2011-06-23	   29.33	0	http://FungiDB.org/common/downloads/Current_Release/Aterreus_NIH2624/fasta/data/FungiDB-24_Aterreus_NIH2624_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Aterreus_NIH2624/gff/data/FungiDB-24_Aterreus_NIH2624.gff	http://FungiDB.org/common/downloads/Current_Release/Aterreus_NIH2624/txt/FungiDB-24_Aterreus_NIH2624Gene.txt	
<i>Batrachochytrium dendrobatidis</i>  JEL423	8907	8806	0	101	-	4306	-	-	-	-	2708	-	7321	-	-	-	-	Broad	FungiDB	372	1	1	Batrachochytrium dendrobatidis JEL423	403673	1	   23.72	0	http://FungiDB.org/common/downloads/Current_Release/Bdendrobatidis_JEL423/fasta/data/FungiDB-24_Bdendrobatidis_JEL423_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Bdendrobatidis_JEL423/gff/data/FungiDB-24_Bdendrobatidis_JEL423.gff	http://FungiDB.org/common/downloads/Current_Release/Bdendrobatidis_JEL423/txt/FungiDB-24_Bdendrobatidis_JEL423Gene.txt	
<i>Botryotinia fuckeliana</i>  B05.10	16803	16389	12	414	-	5571	-	-	-	-	6472	-	10760	-	-	-	-	Broad	FungiDB	4076	1	1	Botryotinia fuckeliana B05.10	332648	2009-08-10	   42.74	0	http://FungiDB.org/common/downloads/Current_Release/Bfuckeliana_B05-10/fasta/data/FungiDB-24_Bfuckeliana_B05-10_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Bfuckeliana_B05-10/gff/data/FungiDB-24_Bfuckeliana_B05-10.gff	http://FungiDB.org/common/downloads/Current_Release/Bfuckeliana_B05-10/txt/FungiDB-24_Bfuckeliana_B05-10Gene.txt	
<i>Candida albicans</i>  SC5314	5348	5227	11	121	-	5090	-	5348	-	-	15	-	5222	4728	-	-	-	CGD	FungiDB	1287	1	1	Candida albicans SC5314	237561	A21-s02-m07-r06	   12.04	1	http://FungiDB.org/common/downloads/Current_Release/Calbicans_SC5314/fasta/data/FungiDB-24_Calbicans_SC5314_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Calbicans_SC5314/gff/data/FungiDB-24_Calbicans_SC5314.gff	http://FungiDB.org/common/downloads/Current_Release/Calbicans_SC5314/txt/FungiDB-24_Calbicans_SC5314Gene.txt	
<i>Coprinopsis cinerea</i>  okayama7#130	13610	13342	12	268	-	5569	-	13342	-	-	4855	-	11160	-	-	-	1	Broad	FungiDB	884	1	1	Coprinopsis cinerea okayama7#130	240176	3	   36.15	1	http://FungiDB.org/common/downloads/Current_Release/Ccinerea_okay7-130/fasta/data/FungiDB-24_Ccinerea_okay7-130_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Ccinerea_okay7-130/gff/data/FungiDB-24_Ccinerea_okay7-130.gff	http://FungiDB.org/common/downloads/Current_Release/Ccinerea_okay7-130/txt/FungiDB-24_Ccinerea_okay7-130Gene.txt	
<i>Cryptococcus gattii</i>  R265	6378	6216	5	162	-	3573	-	-	-	-	-	-	6216	-	-	-	3	Broad	FungiDB	18550	1	0	Cryptococcus gattii R265	294750	1	   17.50	1	http://FungiDB.org/common/downloads/Current_Release/Cgattii_R265/fasta/data/FungiDB-24_Cgattii_R265_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Cgattii_R265/gff/data/FungiDB-24_Cgattii_R265.gff	http://FungiDB.org/common/downloads/Current_Release/Cgattii_R265/txt/FungiDB-24_Cgattii_R265Gene.txt	
<i>Cryptococcus gattii</i>  WM276	6719	6575	12	144	-	3720	-	-	-	-	-	-	6353	-	-	-	4	UBC-GSC	FungiDB	17959	1	1	Cryptococcus gattii WM276	367775	2011-07-14	   18.37	1	http://FungiDB.org/common/downloads/Current_Release/Cgattii_WM276/fasta/data/FungiDB-24_Cgattii_WM276_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Cgattii_WM276/gff/data/FungiDB-24_Cgattii_WM276.gff	http://FungiDB.org/common/downloads/Current_Release/Cgattii_WM276/txt/FungiDB-24_Cgattii_WM276Gene.txt	
<i>Candida glabrata</i>  CBS 138	5651	5224	22	427	-	3317	-	-	-	-	-	-	5205	-	-	-	-	CGD	FungiDB	16306	1	1	Candida glabrata CBS 138	284593	2013-11-17	   12.32	1	http://FungiDB.org/common/downloads/Current_Release/Cglabrata_CBS138/fasta/data/FungiDB-24_Cglabrata_CBS138_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Cglabrata_CBS138/gff/data/FungiDB-24_Cglabrata_CBS138.gff	http://FungiDB.org/common/downloads/Current_Release/Cglabrata_CBS138/txt/FungiDB-24_Cglabrata_CBS138Gene.txt	
<i>Coccidioides immitis</i>  H538.4	10709	10593	2	116	-	4339	-	-	-	-	6770	-	9462	-	-	-	2	GenBank	FungiDB	243	1	0	Coccidioides immitis H538.4	396776	2015-07-10	   27.78	0	http://FungiDB.org/common/downloads/Current_Release/Cimmitis_H538-4/fasta/data/FungiDB-24_Cimmitis_H538-4_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Cimmitis_H538-4/gff/data/FungiDB-24_Cimmitis_H538-4.gff	http://FungiDB.org/common/downloads/Current_Release/Cimmitis_H538-4/txt/FungiDB-24_Cimmitis_H538-4Gene.txt	
<i>Coccidioides immitis</i>  RS	10058	9910	4	148	442	4640	-	10058	-	-	6810	-	9910	-	-	-	-	GenBank	FungiDB	349	1	1	Coccidioides immitis RS	246410	2015-03-12	   29.02	0	http://FungiDB.org/common/downloads/Current_Release/Cimmitis_RS/fasta/data/FungiDB-24_Cimmitis_RS_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Cimmitis_RS/gff/data/FungiDB-24_Cimmitis_RS.gff	http://FungiDB.org/common/downloads/Current_Release/Cimmitis_RS/txt/FungiDB-24_Cimmitis_RSGene.txt	
<i>Cryptococcus neoformans</i>  var. neoformans B-3501A	6750	6500	2	250	-	3866	-	-	-	-	4975	-	6484	-	-	-	4	TIGR-Stanford	FungiDB	17775	1	0	Cryptococcus neoformans var. neoformans B-3501A	283643	2010-03-17	   19.70	1	http://FungiDB.org/common/downloads/Current_Release/Cneoformans_B-3501A/fasta/data/FungiDB-24_Cneoformans_B-3501A_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Cneoformans_B-3501A/gff/data/FungiDB-24_Cneoformans_B-3501A.gff	http://FungiDB.org/common/downloads/Current_Release/Cneoformans_B-3501A/txt/FungiDB-24_Cneoformans_B-3501AGene.txt	
<i>Cryptococcus neoformans</i>  var. grubii H99	8505	6975	12	1530	-	3914	-	8505	-	-	5775	-	6930	4813	-	-	25	Broad	FungiDB	20885	1	0	Cryptococcus neoformans var. grubii H99	235443	2013-09-09	   18.90	0	http://FungiDB.org/common/downloads/Current_Release/Cneoformans_H99/fasta/data/FungiDB-24_Cneoformans_H99_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Cneoformans_H99/gff/data/FungiDB-24_Cneoformans_H99.gff	http://FungiDB.org/common/downloads/Current_Release/Cneoformans_H99/txt/FungiDB-24_Cneoformans_H99Gene.txt	
<i>Cryptococcus neoformans</i>  var. neoformans JEC21	6753	6476	205	277	-	3760	-	-	-	-	5069	-	6290	-	-	-	7	TIGR-Stanford	FungiDB	18235	1	1	Cryptococcus neoformans var. neoformans JEC21	214684	2010-08-14	   19.05	1	http://FungiDB.org/common/downloads/Current_Release/Cneoformans_JEC21/fasta/data/FungiDB-24_Cneoformans_JEC21_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Cneoformans_JEC21/gff/data/FungiDB-24_Cneoformans_JEC21.gff	http://FungiDB.org/common/downloads/Current_Release/Cneoformans_JEC21/txt/FungiDB-24_Cneoformans_JEC21Gene.txt	
<i>Coccidioides posadasii</i>  C735 delta SOWgp	7255	7229	0	26	1015	4603	-	7255	-	-	6334	-	7212	-	-	-	-	GenBank	FungiDB	224	1	0	Coccidioides posadasii C735 delta SOWgp	222929	2009-06-17	   27.01	1	http://FungiDB.org/common/downloads/Current_Release/Cposadasii_C735deltSOWgp/fasta/data/FungiDB-24_Cposadasii_C735deltSOWgp_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Cposadasii_C735deltSOWgp/gff/data/FungiDB-24_Cposadasii_C735deltSOWgp.gff	http://FungiDB.org/common/downloads/Current_Release/Cposadasii_C735deltSOWgp/txt/FungiDB-24_Cposadasii_C735deltSOWgpGene.txt	
<i>Coccidioides posadasii</i>  RMSCC 3488	10083	9964	1	119	-	4476	-	-	-	-	7585	-	9964	-	-	-	-	GenBank	FungiDB	240	1	0	Coccidioides posadasii RMSCC 3488	454284	2015-06-29	   28.21	0	http://FungiDB.org/common/downloads/Current_Release/CposadasiiRMSCC3488/fasta/data/FungiDB-24_CposadasiiRMSCC3488_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/CposadasiiRMSCC3488/gff/data/FungiDB-24_CposadasiiRMSCC3488.gff	http://FungiDB.org/common/downloads/Current_Release/CposadasiiRMSCC3488/txt/FungiDB-24_CposadasiiRMSCC3488Gene.txt	
<i>Coccidioides posadasii</i>  str. Silveira	10382	10228	0	154	345	4483	-	-	-	-	6996	-	9372	-	-	-	-	GenBank	FungiDB	338	1	1	Coccidioides posadasii str. Silveira	443226	2015-03-13	   27.58	0	http://FungiDB.org/common/downloads/Current_Release/CposadasiiSilveira/fasta/data/FungiDB-24_CposadasiiSilveira_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/CposadasiiSilveira/gff/data/FungiDB-24_CposadasiiSilveira.gff	http://FungiDB.org/common/downloads/Current_Release/CposadasiiSilveira/txt/FungiDB-24_CposadasiiSilveiraGene.txt	
<i>Fusarium graminearum</i>  PH-1	14148	13826	9	322	-	6585	-	-	-	-	3760	-	13227	-	-	-	3	MIPS	FungiDB	28163	1	1	Fusarium graminearum PH-1	229533	3.2	   36.45	1	http://FungiDB.org/common/downloads/Current_Release/Fgraminearum_PH-1/fasta/data/FungiDB-24_Fgraminearum_PH-1_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Fgraminearum_PH-1/gff/data/FungiDB-24_Fgraminearum_PH-1.gff	http://FungiDB.org/common/downloads/Current_Release/Fgraminearum_PH-1/txt/FungiDB-24_Fgraminearum_PH-1Gene.txt	
<i>Fusarium oxysporum</i>  f. sp. lycopersici 4287	18016	17708	9	308	-	8352	-	-	-	-	1594	-	16692	-	-	-	3	Broad	FungiDB	26685	1	1	Fusarium oxysporum f. sp. lycopersici 4287	426428	2	   61.36	1	http://FungiDB.org/common/downloads/Current_Release/Foxysporum_4287/fasta/data/FungiDB-24_Foxysporum_4287_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Foxysporum_4287/gff/data/FungiDB-24_Foxysporum_4287.gff	http://FungiDB.org/common/downloads/Current_Release/Foxysporum_4287/txt/FungiDB-24_Foxysporum_4287Gene.txt	
<i>Fusarium verticillioides</i>  7600	14476	14180	3	296	-	6957	-	-	-	-	7980	-	13061	-	-	-	1	Broad	FungiDB	27522	1	1	Fusarium verticillioides 7600	334819	3	   41.78	1	http://FungiDB.org/common/downloads/Current_Release/Fverticillioides_7600/fasta/data/FungiDB-24_Fverticillioides_7600_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Fverticillioides_7600/gff/data/FungiDB-24_Fverticillioides_7600.gff	http://FungiDB.org/common/downloads/Current_Release/Fverticillioides_7600/txt/FungiDB-24_Fverticillioides_7600Gene.txt	
<i>Hyaloperonospora arabidopsidis</i>  Emoy2	14862	14325	52	537	-	4994	-	14862	-	-	-	-	11486	-	-	-	-	Ensembl	FungiDB	169	1	1	Hyaloperonospora arabidopsidis Emoy2	559515	2013-12-07	   78.90	1	http://FungiDB.org/common/downloads/Current_Release/Harabidopsidis_Emoy2/fasta/data/FungiDB-24_Harabidopsidis_Emoy2_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Harabidopsidis_Emoy2/gff/data/FungiDB-24_Harabidopsidis_Emoy2.gff	http://FungiDB.org/common/downloads/Current_Release/Harabidopsidis_Emoy2/txt/FungiDB-24_Harabidopsidis_Emoy2Gene.txt	
<i>Mucor circinelloides</i>  f. lusitanicus CBS 277.49	11956	11719	2	237	-	6642	-	-	-	-	2863	-	10639	-	-	-	1	JGI	FungiDB	327	1	1	Mucor circinelloides f. lusitanicus CBS 277.49	747725	2	   36.59	0	http://FungiDB.org/common/downloads/Current_Release/Mcircinelloides_CBS277-49/fasta/data/FungiDB-24_Mcircinelloides_CBS277-49_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Mcircinelloides_CBS277-49/gff/data/FungiDB-24_Mcircinelloides_CBS277-49.gff	http://FungiDB.org/common/downloads/Current_Release/Mcircinelloides_CBS277-49/txt/FungiDB-24_Mcircinelloides_CBS277-49Gene.txt	
<i>Malassezia globosa</i>  CBS 7966	4369	4286	0	83	-	2747	-	-	-	-	811	-	3886	-	-	-	-	PnG	FungiDB	136	1	1	Malassezia globosa CBS 7966	425265	2009-11-11	    8.96	1	http://FungiDB.org/common/downloads/Current_Release/Mglobosa_CBS7966/fasta/data/FungiDB-24_Mglobosa_CBS7966_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Mglobosa_CBS7966/gff/data/FungiDB-24_Mglobosa_CBS7966.gff	http://FungiDB.org/common/downloads/Current_Release/Mglobosa_CBS7966/txt/FungiDB-24_Mglobosa_CBS7966Gene.txt	
<i>Melampsora larici-populina</i>  98AG31	16615	16380	15	235	-	4654	-	-	-	-	4678	-	13966	-	-	-	-	JGI	FungiDB	729	1	1	Melampsora larici-populina 98AG31	747676	2011-06-17	  101.13	0	http://FungiDB.org/common/downloads/Current_Release/Mlarici-populina_98AG31/fasta/data/FungiDB-24_Mlarici-populina_98AG31_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Mlarici-populina_98AG31/gff/data/FungiDB-24_Mlarici-populina_98AG31.gff	http://FungiDB.org/common/downloads/Current_Release/Mlarici-populina_98AG31/txt/FungiDB-24_Mlarici-populina_98AG31Gene.txt	
<i>Magnaporthe oryzae</i>  70-15	11395	11052	143	343	-	5524	-	-	-	-	503	-	9558	-	-	-	-	Broad	FungiDB	1609	1	1	Magnaporthe oryzae 70-15	242507	6	   41.70	1	http://FungiDB.org/common/downloads/Current_Release/Moryzae_70-15/fasta/data/FungiDB-24_Moryzae_70-15_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Moryzae_70-15/gff/data/FungiDB-24_Moryzae_70-15.gff	http://FungiDB.org/common/downloads/Current_Release/Moryzae_70-15/txt/FungiDB-24_Moryzae_70-15Gene.txt	
<i>Neurospora crassa</i>  OR74A	11243	10812	17	431	-	5130	-	11243	-	-	6760	-	10810	10154	-	-	47	Broad	FungiDB	2310	1	1	Neurospora crassa OR74A	367110	12	   41.10	1	http://FungiDB.org/common/downloads/Current_Release/Ncrassa_OR74A/fasta/data/FungiDB-24_Ncrassa_OR74A_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Ncrassa_OR74A/gff/data/FungiDB-24_Ncrassa_OR74A.gff	http://FungiDB.org/common/downloads/Current_Release/Ncrassa_OR74A/txt/FungiDB-24_Ncrassa_OR74AGene.txt	
<i>Neurospora discreta</i>  FGSC 8579	10345	9948	4	397	-	4417	-	-	-	-	-	-	8638	-	-	-	-	JGI	FungiDB	2407	1	1	Neurospora discreta FGSC 8579	510953	1	   37.30	0	http://FungiDB.org/common/downloads/Current_Release/Ndiscreta_FGSC8579/fasta/data/FungiDB-24_Ndiscreta_FGSC8579_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Ndiscreta_FGSC8579/gff/data/FungiDB-24_Ndiscreta_FGSC8579.gff	http://FungiDB.org/common/downloads/Current_Release/Ndiscreta_FGSC8579/txt/FungiDB-24_Ndiscreta_FGSC8579Gene.txt	
<i>Neosartorya fischeri</i>  NRRL 181	11002	10421	93	581	-	6661	-	-	-	-	-	-	10147	-	-	-	-	JCVI	FungiDB	11874	1	1	Neosartorya fischeri NRRL 181	331117	2011-07-05	   31.77	1	http://FungiDB.org/common/downloads/Current_Release/Nfischeri_NRRL181/fasta/data/FungiDB-24_Nfischeri_NRRL181_Genome.fasta	http://FungiDB.org/common/downloads/Current_Release/Nfischeri_NRRL181/gff/data/FungiDB-24_Nfischeri_NRRL181.gff	http://FungiDB.org/common/downloads/Current_Release/Nfischeri_NRRL181/txt/FungiDB-24_Nfischeri_NRRL181Gene.txt	
