BiocVersion,Genome,NumGenes,NumOrthologs,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,Tags,BsgenomePkg,GrangesPkg,OrganismdbiPkg,OrgdbPkg,TxdbPkg,Strain,Taxon,Genus,Sp,TaxonUnmodified,Title,Description,RDataClass,DispatchClass,ResourceName,RDataPath
3.9,AmoebaDB-43_EhistolyticaMS96,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-43/EhistolyticaMS96/gff/data/AmoebaDB-43_EhistolyticaMS96.gff,43,Entamoeba histolytica MS96-3382,885314,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.MS96.3382.v43,GRanges.Entamoeba.histolytica.MS96.3382.v43.rda,amoebadb.Entamoeba.histolytica.MS96.3382.v43,org.Ehistolytica.MS96.3382.v43.eg.db,TxDb.Entamoeba.histolytica.MS96.3382.AmoebaDB.v43,MS96.3382,Entamoeba histolytica MS96 3382,,,Entamoeba histolytica MS96-3382,Combined information for Entamoeba histolytica MS96 3382,AmoebaDB 43 Combined information for Entamoeba histolytica MS96 3382,OrganismDBI,SQLiteFile,amoebadb.Entamoeba.histolytica.MS96.3382.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.histolytica.MS96.3382.v43/graphInfo.rda
3.9,AmoebaDB-43_EinvadensIP1,12433,11955,GFF,http://AmoebaDB.org/common/downloads/release-43/EinvadensIP1/gff/data/AmoebaDB-43_EinvadensIP1.gff,43,Entamoeba invadens IP1,370355,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.invadens.IP1.v43,GRanges.Entamoeba.invadens.IP1.v43.rda,amoebadb.Entamoeba.invadens.IP1.v43,org.Einvadens.IP1.v43.eg.db,TxDb.Entamoeba.invadens.IP1.AmoebaDB.v43,IP1,Entamoeba invadens IP1,,,Entamoeba invadens IP1,Combined information for Entamoeba invadens IP1,AmoebaDB 43 Combined information for Entamoeba invadens IP1,OrganismDBI,SQLiteFile,amoebadb.Entamoeba.invadens.IP1.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.invadens.IP1.v43/graphInfo.rda
3.9,AmoebaDB-43_EnuttalliP19,6193,6168,GFF,http://AmoebaDB.org/common/downloads/release-43/EnuttalliP19/gff/data/AmoebaDB-43_EnuttalliP19.gff,43,Entamoeba nuttalli P19,1076696,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.nuttalli.P19.v43,GRanges.Entamoeba.nuttalli.P19.v43.rda,amoebadb.Entamoeba.nuttalli.P19.v43,org.Enuttalli.P19.v43.eg.db,TxDb.Entamoeba.nuttalli.P19.AmoebaDB.v43,P19,Entamoeba nuttalli P19,,,Entamoeba nuttalli P19,Combined information for Entamoeba nuttalli P19,AmoebaDB 43 Combined information for Entamoeba nuttalli P19,OrganismDBI,SQLiteFile,amoebadb.Entamoeba.nuttalli.P19.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Entamoeba.nuttalli.P19.v43/graphInfo.rda
3.9,AmoebaDB-43_AastronyxisUnknown,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-43/AastronyxisUnknown/gff/data/AmoebaDB-43_AastronyxisUnknown.gff,43,Acanthamoeba astronyxis,65658,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.astronyxis.Unknown.v43,GRanges.Acanthamoeba.astronyxis.Unknown.v43.rda,amoebadb.Acanthamoeba.astronyxis.Unknown.v43,org.Aastronyxis.Unknown.v43.eg.db,TxDb.Acanthamoeba.astronyxis.Unknown.AmoebaDB.v43,Unknown,Acanthamoeba astronyxis Unknown,,,Acanthamoeba astronyxis Unknown,Combined information for Acanthamoeba astronyxis Unknown,AmoebaDB 43 Combined information for Acanthamoeba astronyxis Unknown,OrganismDBI,SQLiteFile,amoebadb.Acanthamoeba.astronyxis.Unknown.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Acanthamoeba.astronyxis.Unknown.v43/graphInfo.rda
3.9,AmoebaDB-43_AcastellaniiMa,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-43/AcastellaniiMa/gff/data/AmoebaDB-43_AcastellaniiMa.gff,43,Acanthamoeba castellanii,5755,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.castellanii.Ma.v43,GRanges.Acanthamoeba.castellanii.Ma.v43.rda,amoebadb.Acanthamoeba.castellanii.Ma.v43,org.Acastellanii.Ma.v43.eg.db,TxDb.Acanthamoeba.castellanii.Ma.AmoebaDB.v43,Ma,Acanthamoeba castellanii Ma,,,Acanthamoeba castellanii Ma,Combined information for Acanthamoeba castellanii Ma,AmoebaDB 43 Combined information for Acanthamoeba castellanii Ma,OrganismDBI,SQLiteFile,amoebadb.Acanthamoeba.castellanii.Ma.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Acanthamoeba.castellanii.Ma.v43/graphInfo.rda
3.9,AmoebaDB-43_AculbertsoniA1,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-43/AculbertsoniA1/gff/data/AmoebaDB-43_AculbertsoniA1.gff,43,Acanthamoeba culbertsoni,43142,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.culbertsoni.A1.v43,GRanges.Acanthamoeba.culbertsoni.A1.v43.rda,amoebadb.Acanthamoeba.culbertsoni.A1.v43,org.Aculbertsoni.A1.v43.eg.db,TxDb.Acanthamoeba.culbertsoni.A1.AmoebaDB.v43,A1,Acanthamoeba culbertsoni A1,,,Acanthamoeba culbertsoni A1,Combined information for Acanthamoeba culbertsoni A1,AmoebaDB 43 Combined information for Acanthamoeba culbertsoni A1,OrganismDBI,SQLiteFile,amoebadb.Acanthamoeba.culbertsoni.A1.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Acanthamoeba.culbertsoni.A1.v43/graphInfo.rda
3.9,AmoebaDB-43_AlenticulataPD2S,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-43/AlenticulataPD2S/gff/data/AmoebaDB-43_AlenticulataPD2S.gff,43,Acanthamoeba lenticulata,29196,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.lenticulata.PD2S.v43,GRanges.Acanthamoeba.lenticulata.PD2S.v43.rda,amoebadb.Acanthamoeba.lenticulata.PD2S.v43,org.Alenticulata.PD2S.v43.eg.db,TxDb.Acanthamoeba.lenticulata.PD2S.AmoebaDB.v43,PD2S,Acanthamoeba lenticulata PD2S,,,Acanthamoeba lenticulata PD2S,Combined information for Acanthamoeba lenticulata PD2S,AmoebaDB 43 Combined information for Acanthamoeba lenticulata PD2S,OrganismDBI,SQLiteFile,amoebadb.Acanthamoeba.lenticulata.PD2S.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Acanthamoeba.lenticulata.PD2S.v43/graphInfo.rda
3.9,AmoebaDB-43_AlugdunensisL3a,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-43/AlugdunensisL3a/gff/data/AmoebaDB-43_AlugdunensisL3a.gff,43,Acanthamoeba lugdunensis,61605,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.lugdunensis.L3a.v43,GRanges.Acanthamoeba.lugdunensis.L3a.v43.rda,amoebadb.Acanthamoeba.lugdunensis.L3a.v43,org.Alugdunensis.L3a.v43.eg.db,TxDb.Acanthamoeba.lugdunensis.L3a.AmoebaDB.v43,L3a,Acanthamoeba lugdunensis L3a,,,Acanthamoeba lugdunensis L3a,Combined information for Acanthamoeba lugdunensis L3a,AmoebaDB 43 Combined information for Acanthamoeba lugdunensis L3a,OrganismDBI,SQLiteFile,amoebadb.Acanthamoeba.lugdunensis.L3a.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Acanthamoeba.lugdunensis.L3a.v43/graphInfo.rda
3.9,AmoebaDB-43_Amauritaniensis1652,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-43/Amauritaniensis1652/gff/data/AmoebaDB-43_Amauritaniensis1652.gff,43,Acanthamoeba mauritaniensis,196912,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.mauritaniensis.1652.v43,GRanges.Acanthamoeba.mauritaniensis.1652.v43.rda,amoebadb.Acanthamoeba.mauritaniensis.1652.v43,org.Amauritaniensis.1652.v43.eg.db,TxDb.Acanthamoeba.mauritaniensis.1652.AmoebaDB.v43,1652,Acanthamoeba mauritaniensis 1652,,,Acanthamoeba mauritaniensis 1652,Combined information for Acanthamoeba mauritaniensis 1652,AmoebaDB 43 Combined information for Acanthamoeba mauritaniensis 1652,OrganismDBI,SQLiteFile,amoebadb.Acanthamoeba.mauritaniensis.1652.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Acanthamoeba.mauritaniensis.1652.v43/graphInfo.rda
3.9,AmoebaDB-43_ApalestinensisReich,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-43/ApalestinensisReich/gff/data/AmoebaDB-43_ApalestinensisReich.gff,43,Acanthamoeba palestinensis,28015,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.palestinensis.Reich.v43,GRanges.Acanthamoeba.palestinensis.Reich.v43.rda,amoebadb.Acanthamoeba.palestinensis.Reich.v43,org.Apalestinensis.Reich.v43.eg.db,TxDb.Acanthamoeba.palestinensis.Reich.AmoebaDB.v43,Reich,Acanthamoeba palestinensis Reich,,,Acanthamoeba palestinensis Reich,Combined information for Acanthamoeba palestinensis Reich,AmoebaDB 43 Combined information for Acanthamoeba palestinensis Reich,OrganismDBI,SQLiteFile,amoebadb.Acanthamoeba.palestinensis.Reich.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Acanthamoeba.palestinensis.Reich.v43/graphInfo.rda
3.9,AmoebaDB-43_AquinaVil3,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-43/AquinaVil3/gff/data/AmoebaDB-43_AquinaVil3.gff,43,Acanthamoeba quina,211522,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.quina.Vil3.v43,GRanges.Acanthamoeba.quina.Vil3.v43.rda,amoebadb.Acanthamoeba.quina.Vil3.v43,org.Aquina.Vil3.v43.eg.db,TxDb.Acanthamoeba.quina.Vil3.AmoebaDB.v43,Vil3,Acanthamoeba quina Vil3,,,Acanthamoeba quina Vil3,Combined information for Acanthamoeba quina Vil3,AmoebaDB 43 Combined information for Acanthamoeba quina Vil3,OrganismDBI,SQLiteFile,amoebadb.Acanthamoeba.quina.Vil3.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Acanthamoeba.quina.Vil3.v43/graphInfo.rda
3.9,AmoebaDB-43_ArhysodesSingh,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-43/ArhysodesSingh/gff/data/AmoebaDB-43_ArhysodesSingh.gff,43,Acanthamoeba rhysodes,32599,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.rhysodes.Singh.v43,GRanges.Acanthamoeba.rhysodes.Singh.v43.rda,amoebadb.Acanthamoeba.rhysodes.Singh.v43,org.Arhysodes.Singh.v43.eg.db,TxDb.Acanthamoeba.rhysodes.Singh.AmoebaDB.v43,Singh,Acanthamoeba rhysodes Singh,,,Acanthamoeba rhysodes Singh,Combined information for Acanthamoeba rhysodes Singh,AmoebaDB 43 Combined information for Acanthamoeba rhysodes Singh,OrganismDBI,SQLiteFile,amoebadb.Acanthamoeba.rhysodes.Singh.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Acanthamoeba.rhysodes.Singh.v43/graphInfo.rda
3.9,AmoebaDB-43_AspGalka,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-43/AspGalka/gff/data/AmoebaDB-43_AspGalka.gff,43,Acanthamoeba sp.,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.sp.Galka.v43,GRanges.Acanthamoeba.sp.Galka.v43.rda,amoebadb.Acanthamoeba.sp.Galka.v43,org.Asp.Galka.v43.eg.db,TxDb.Acanthamoeba.sp.Galka.AmoebaDB.v43,Galka,Acanthamoeba sp Galka,,,Acanthamoeba sp Galka,Combined information for Acanthamoeba sp Galka,AmoebaDB 43 Combined information for Acanthamoeba sp Galka,OrganismDBI,SQLiteFile,amoebadb.Acanthamoeba.sp.Galka.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Acanthamoeba.sp.Galka.v43/graphInfo.rda
3.9,AmoebaDB-43_AspIncertaesedis,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-43/AspIncertaesedis/gff/data/AmoebaDB-43_AspIncertaesedis.gff,43,Acanthamoeba sp.,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.sp.Incertae.sedis.v43,GRanges.Acanthamoeba.sp.Incertae.sedis.v43.rda,amoebadb.Acanthamoeba.sp.Incertae.sedis.v43,org.Asp.Incertae.sedis.v43.eg.db,TxDb.Acanthamoeba.sp.Incertae.sedis.AmoebaDB.v43,Incertae.sedis,Acanthamoeba sp Incertae sedis,,,Acanthamoeba sp Incertae sedis,Combined information for Acanthamoeba sp Incertae sedis,AmoebaDB 43 Combined information for Acanthamoeba sp Incertae sedis,OrganismDBI,SQLiteFile,amoebadb.Acanthamoeba.sp.Incertae.sedis.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Acanthamoeba.sp.Incertae.sedis.v43/graphInfo.rda
3.9,AmoebaDB-43_AspT4b-type,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-43/AspT4b-type/gff/data/AmoebaDB-43_AspT4b-type.gff,43,Acanthamoeba sp.,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.sp.T4b.type.v43,GRanges.Acanthamoeba.sp.T4b.type.v43.rda,amoebadb.Acanthamoeba.sp.T4b.type.v43,org.Asp.T4b.type.v43.eg.db,TxDb.Acanthamoeba.sp.T4b.type.AmoebaDB.v43,T4b.type,Acanthamoeba sp T4b type,,,Acanthamoeba sp T4b-type,Combined information for Acanthamoeba sp T4b type,AmoebaDB 43 Combined information for Acanthamoeba sp T4b type,OrganismDBI,SQLiteFile,amoebadb.Acanthamoeba.sp.T4b.type.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Acanthamoeba.sp.T4b.type.v43/graphInfo.rda
3.9,AmoebaDB-43_AtriangularisSH621,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-43/AtriangularisSH621/gff/data/AmoebaDB-43_AtriangularisSH621.gff,43,Acanthamoeba triangularis,146752,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.triangularis.SH621.v43,GRanges.Acanthamoeba.triangularis.SH621.v43.rda,amoebadb.Acanthamoeba.triangularis.SH621.v43,org.Atriangularis.SH621.v43.eg.db,TxDb.Acanthamoeba.triangularis.SH621.AmoebaDB.v43,SH621,Acanthamoeba triangularis SH621,,,Acanthamoeba triangularis SH621,Combined information for Acanthamoeba triangularis SH621,AmoebaDB 43 Combined information for Acanthamoeba triangularis SH621,OrganismDBI,SQLiteFile,amoebadb.Acanthamoeba.triangularis.SH621.v43,EuPathDB/OrganismDbi/3.9/amoebadb.Acanthamoeba.triangularis.SH621.v43/graphInfo.rda
