BiocVersion,Genome,NumGenes,NumOrthologs,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,Tags,BsgenomePkg,GrangesPkg,OrganismdbiPkg,OrgdbPkg,TxdbPkg,Strain,Taxon,Genus,Sp,BsgenomeFile,GrangesFile,OrganismdbiFile,OrgdbFile,TxdbFile,TaxonUnmodified,Title,Description,RDataClass,DispatchClass,ResourceName,RDataPath
v3.9,AmoebaDB-44_AspIncertaesedis,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AspIncertaesedis/gff/data/AmoebaDB-42_AspIncertaesedis.gff,42,Acanthamoeba sp,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.sp.Incertae.sedis.v42,GRanges.Acanthamoeba.sp.Incertae.sedis.v42.rda,amoebadb.Acanthamoeba.sp.Incertae.sedis.v42,org.Asp.Incertae.sedis.v42.eg.db,TxDb.Acanthamoeba.sp.Incertae.sedis.AmoebaDB.v42,Incertae.sedis,Acanthamoeba sp Incertae sedis,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Acanthamoeba.sp.Incertae.sedis.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.sp.Incertae.sedis.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Acanthamoeba.sp.Incertae.sedis.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Asp.Incertae.sedis.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Acanthamoeba.sp.Incertae.sedis.AmoebaDB.v42.sqlite,Acanthamoeba sp Incertae sedis,Transcript information for Acanthamoeba sp Incertae sedis,AmoebaDB 42 transcript information for Acanthamoeba sp Incertae sedis,GRanges,GRanges,GRanges.Acanthamoeba.sp.Incertae.sedis.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.sp.Incertae.sedis.v42.rda
v3.9,AmoebaDB-44_AspT4b-type,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AspT4b-type/gff/data/AmoebaDB-42_AspT4b-type.gff,42,Acanthamoeba sp,NA,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.sp.T4b.type.v42,GRanges.Acanthamoeba.sp.T4b.type.v42.rda,amoebadb.Acanthamoeba.sp.T4b.type.v42,org.Asp.T4b.type.v42.eg.db,TxDb.Acanthamoeba.sp.T4b.type.AmoebaDB.v42,T4b.type,Acanthamoeba sp T4b type,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Acanthamoeba.sp.T4b.type.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.sp.T4b.type.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Acanthamoeba.sp.T4b.type.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Asp.T4b.type.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Acanthamoeba.sp.T4b.type.AmoebaDB.v42.sqlite,Acanthamoeba sp T4b-type,Transcript information for Acanthamoeba sp T4b type,AmoebaDB 42 transcript information for Acanthamoeba sp T4b type,GRanges,GRanges,GRanges.Acanthamoeba.sp.T4b.type.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.sp.T4b.type.v42.rda
v3.9,AmoebaDB-44_AtriangularisSH621,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/AtriangularisSH621/gff/data/AmoebaDB-42_AtriangularisSH621.gff,42,Acanthamoeba triangularis,146752,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Acanthamoeba.triangularis.SH621.v42,GRanges.Acanthamoeba.triangularis.SH621.v42.rda,amoebadb.Acanthamoeba.triangularis.SH621.v42,org.Atriangularis.SH621.v42.eg.db,TxDb.Acanthamoeba.triangularis.SH621.AmoebaDB.v42,SH621,Acanthamoeba triangularis SH621,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Acanthamoeba.triangularis.SH621.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.triangularis.SH621.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Acanthamoeba.triangularis.SH621.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Atriangularis.SH621.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Acanthamoeba.triangularis.SH621.AmoebaDB.v42.sqlite,Acanthamoeba triangularis SH621,Transcript information for Acanthamoeba triangularis SH621,AmoebaDB 42 transcript information for Acanthamoeba triangularis SH621,GRanges,GRanges,GRanges.Acanthamoeba.triangularis.SH621.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Acanthamoeba.triangularis.SH621.v42.rda
v3.9,AmoebaDB-44_EdisparSAW760,10262,8748,GFF,http://AmoebaDB.org/common/downloads/release-42/EdisparSAW760/gff/data/AmoebaDB-42_EdisparSAW760.gff,42,Entamoeba dispar SAW760,370354,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.dispar.SAW760.v42,GRanges.Entamoeba.dispar.SAW760.v42.rda,amoebadb.Entamoeba.dispar.SAW760.v42,org.Edispar.SAW760.v42.eg.db,TxDb.Entamoeba.dispar.SAW760.AmoebaDB.v42,SAW760,Entamoeba dispar SAW760,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Entamoeba.dispar.SAW760.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.dispar.SAW760.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Entamoeba.dispar.SAW760.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Edispar.SAW760.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Entamoeba.dispar.SAW760.AmoebaDB.v42.sqlite,Entamoeba dispar SAW760,Transcript information for Entamoeba dispar SAW760,AmoebaDB 42 transcript information for Entamoeba dispar SAW760,GRanges,GRanges,GRanges.Entamoeba.dispar.SAW760.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.dispar.SAW760.v42.rda
v3.9,AmoebaDB-44_EhistolyticaDS4,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaDS4/gff/data/AmoebaDB-42_EhistolyticaDS4.gff,42,Entamoeba histolytica DS4-868,885310,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.DS4.868.v42,GRanges.Entamoeba.histolytica.DS4.868.v42.rda,amoebadb.Entamoeba.histolytica.DS4.868.v42,org.Ehistolytica.DS4.868.v42.eg.db,TxDb.Entamoeba.histolytica.DS4.868.AmoebaDB.v42,DS4.868,Entamoeba histolytica DS4 868,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Entamoeba.histolytica.DS4.868.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.histolytica.DS4.868.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Entamoeba.histolytica.DS4.868.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Ehistolytica.DS4.868.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Entamoeba.histolytica.DS4.868.AmoebaDB.v42.sqlite,Entamoeba histolytica DS4-868,Transcript information for Entamoeba histolytica DS4 868,AmoebaDB 42 transcript information for Entamoeba histolytica DS4 868,GRanges,GRanges,GRanges.Entamoeba.histolytica.DS4.868.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.histolytica.DS4.868.v42.rda
v3.9,AmoebaDB-44_EhistolyticaHM1CA,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaHM1CA/gff/data/AmoebaDB-42_EhistolyticaHM1CA.gff,42,Entamoeba histolytica,5759,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.HM.1CA.v42,GRanges.Entamoeba.histolytica.HM.1CA.v42.rda,amoebadb.Entamoeba.histolytica.HM.1CA.v42,org.Ehistolytica.HM.1CA.v42.eg.db,TxDb.Entamoeba.histolytica.HM.1CA.AmoebaDB.v42,HM.1CA,Entamoeba histolytica HM 1CA,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Entamoeba.histolytica.HM.1CA.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.histolytica.HM.1CA.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Entamoeba.histolytica.HM.1CA.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Ehistolytica.HM.1CA.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Entamoeba.histolytica.HM.1CA.AmoebaDB.v42.sqlite,Entamoeba histolytica HM-1:CA,Transcript information for Entamoeba histolytica HM 1CA,AmoebaDB 42 transcript information for Entamoeba histolytica HM 1CA,GRanges,GRanges,GRanges.Entamoeba.histolytica.HM.1CA.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.histolytica.HM.1CA.v42.rda
v3.9,AmoebaDB-44_EhistolyticaKU48,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaKU48/gff/data/AmoebaDB-42_EhistolyticaKU48.gff,42,Entamoeba histolytica KU48,885312,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.KU48.v42,GRanges.Entamoeba.histolytica.KU48.v42.rda,amoebadb.Entamoeba.histolytica.KU48.v42,org.Ehistolytica.KU48.v42.eg.db,TxDb.Entamoeba.histolytica.KU48.AmoebaDB.v42,KU48,Entamoeba histolytica KU48,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Entamoeba.histolytica.KU48.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.histolytica.KU48.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Entamoeba.histolytica.KU48.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Ehistolytica.KU48.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Entamoeba.histolytica.KU48.AmoebaDB.v42.sqlite,Entamoeba histolytica KU48,Transcript information for Entamoeba histolytica KU48,AmoebaDB 42 transcript information for Entamoeba histolytica KU48,GRanges,GRanges,GRanges.Entamoeba.histolytica.KU48.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.histolytica.KU48.v42.rda
v3.9,AmoebaDB-44_EhistolyticaKU50,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaKU50/gff/data/AmoebaDB-42_EhistolyticaKU50.gff,42,Entamoeba histolytica KU50,885313,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.KU50.v42,GRanges.Entamoeba.histolytica.KU50.v42.rda,amoebadb.Entamoeba.histolytica.KU50.v42,org.Ehistolytica.KU50.v42.eg.db,TxDb.Entamoeba.histolytica.KU50.AmoebaDB.v42,KU50,Entamoeba histolytica KU50,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Entamoeba.histolytica.KU50.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.histolytica.KU50.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Entamoeba.histolytica.KU50.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Ehistolytica.KU50.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Entamoeba.histolytica.KU50.AmoebaDB.v42.sqlite,Entamoeba histolytica KU50,Transcript information for Entamoeba histolytica KU50,AmoebaDB 42 transcript information for Entamoeba histolytica KU50,GRanges,GRanges,GRanges.Entamoeba.histolytica.KU50.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.histolytica.KU50.v42.rda
v3.9,AmoebaDB-44_EhistolyticaMS96,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaMS96/gff/data/AmoebaDB-42_EhistolyticaMS96.gff,42,Entamoeba histolytica MS96-3382,885314,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.MS96.3382.v42,GRanges.Entamoeba.histolytica.MS96.3382.v42.rda,amoebadb.Entamoeba.histolytica.MS96.3382.v42,org.Ehistolytica.MS96.3382.v42.eg.db,TxDb.Entamoeba.histolytica.MS96.3382.AmoebaDB.v42,MS96.3382,Entamoeba histolytica MS96 3382,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Entamoeba.histolytica.MS96.3382.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.histolytica.MS96.3382.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Entamoeba.histolytica.MS96.3382.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Ehistolytica.MS96.3382.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Entamoeba.histolytica.MS96.3382.AmoebaDB.v42.sqlite,Entamoeba histolytica MS96-3382,Transcript information for Entamoeba histolytica MS96 3382,AmoebaDB 42 transcript information for Entamoeba histolytica MS96 3382,GRanges,GRanges,GRanges.Entamoeba.histolytica.MS96.3382.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.histolytica.MS96.3382.v42.rda
v3.9,AmoebaDB-44_EhistolyticaRahman,NA,NA,GFF,http://AmoebaDB.org/common/downloads/release-42/EhistolyticaRahman/gff/data/AmoebaDB-42_EhistolyticaRahman.gff,42,Entamoeba histolytica,5759,TRUE,AmoebaDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Amoeba,BSGenome.Entamoeba.histolytica.Rahman.v42,GRanges.Entamoeba.histolytica.Rahman.v42.rda,amoebadb.Entamoeba.histolytica.Rahman.v42,org.Ehistolytica.Rahman.v42.eg.db,TxDb.Entamoeba.histolytica.Rahman.AmoebaDB.v42,Rahman,Entamoeba histolytica Rahman,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Entamoeba.histolytica.Rahman.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.histolytica.Rahman.v42.rda,EuPathDB/OrganismDbi/v3.9/amoebadb.Entamoeba.histolytica.Rahman.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Ehistolytica.Rahman.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Entamoeba.histolytica.Rahman.AmoebaDB.v42.sqlite,Entamoeba histolytica Rahman,Transcript information for Entamoeba histolytica Rahman,AmoebaDB 42 transcript information for Entamoeba histolytica Rahman,GRanges,GRanges,GRanges.Entamoeba.histolytica.Rahman.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Entamoeba.histolytica.Rahman.v42.rda
v3.9,CryptoDB-44_CbaileyiTAMU-09Q1,NA,NA,GFF,http://CryptoDB.org/common/downloads/release-42/CbaileyiTAMU-09Q1/gff/data/CryptoDB-42_CbaileyiTAMU-09Q1.gff,42,Cryptosporidium baileyi,27987,TRUE,CryptoDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Cryptosporidium,BSGenome.Cryptosporidium.baileyi.TAMU.09Q1.v42,GRanges.Cryptosporidium.baileyi.TAMU.09Q1.v42.rda,cryptodb.Cryptosporidium.baileyi.TAMU.09Q1.v42,org.Cbaileyi.TAMU.09Q1.v42.eg.db,TxDb.Cryptosporidium.baileyi.TAMU.09Q1.CryptoDB.v42,TAMU.09Q1,Cryptosporidium baileyi TAMU 09Q1,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Cryptosporidium.baileyi.TAMU.09Q1.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Cryptosporidium.baileyi.TAMU.09Q1.v42.rda,EuPathDB/OrganismDbi/v3.9/cryptodb.Cryptosporidium.baileyi.TAMU.09Q1.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Cbaileyi.TAMU.09Q1.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Cryptosporidium.baileyi.TAMU.09Q1.CryptoDB.v42.sqlite,Cryptosporidium baileyi TAMU-09Q1,Transcript information for Cryptosporidium baileyi TAMU 09Q1,CryptoDB 42 transcript information for Cryptosporidium baileyi TAMU 09Q1,GRanges,GRanges,GRanges.Cryptosporidium.baileyi.TAMU.09Q1.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Cryptosporidium.baileyi.TAMU.09Q1.v42.rda
v3.9,CryptoDB-44_Chominis37999,NA,NA,GFF,http://CryptoDB.org/common/downloads/release-42/Chominis37999/gff/data/CryptoDB-42_Chominis37999.gff,42,Cryptosporidium hominis,237895,TRUE,CryptoDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Cryptosporidium,BSGenome.Cryptosporidium.hominis.37999.v42,GRanges.Cryptosporidium.hominis.37999.v42.rda,cryptodb.Cryptosporidium.hominis.37999.v42,org.Chominis.37999.v42.eg.db,TxDb.Cryptosporidium.hominis.37999.CryptoDB.v42,37999,Cryptosporidium hominis 37999,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Cryptosporidium.hominis.37999.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Cryptosporidium.hominis.37999.v42.rda,EuPathDB/OrganismDbi/v3.9/cryptodb.Cryptosporidium.hominis.37999.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Chominis.37999.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Cryptosporidium.hominis.37999.CryptoDB.v42.sqlite,Cryptosporidium hominis 37999,Transcript information for Cryptosporidium hominis 37999,CryptoDB 42 transcript information for Cryptosporidium hominis 37999,GRanges,GRanges,GRanges.Cryptosporidium.hominis.37999.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Cryptosporidium.hominis.37999.v42.rda
v3.9,CryptoDB-44_ChominisUKH1,NA,NA,GFF,http://CryptoDB.org/common/downloads/release-42/ChominisUKH1/gff/data/CryptoDB-42_ChominisUKH1.gff,42,Cryptosporidium hominis,237895,TRUE,CryptoDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Cryptosporidium,BSGenome.Cryptosporidium.hominis.UKH1.v42,GRanges.Cryptosporidium.hominis.UKH1.v42.rda,cryptodb.Cryptosporidium.hominis.UKH1.v42,org.Chominis.UKH1.v42.eg.db,TxDb.Cryptosporidium.hominis.UKH1.CryptoDB.v42,UKH1,Cryptosporidium hominis UKH1,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Cryptosporidium.hominis.UKH1.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Cryptosporidium.hominis.UKH1.v42.rda,EuPathDB/OrganismDbi/v3.9/cryptodb.Cryptosporidium.hominis.UKH1.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Chominis.UKH1.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Cryptosporidium.hominis.UKH1.CryptoDB.v42.sqlite,Cryptosporidium hominis UKH1,Transcript information for Cryptosporidium hominis UKH1,CryptoDB 42 transcript information for Cryptosporidium hominis UKH1,GRanges,GRanges,GRanges.Cryptosporidium.hominis.UKH1.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Cryptosporidium.hominis.UKH1.v42.rda
v3.9,CryptoDB-44_CspchipmunkLX2015,NA,NA,GFF,http://CryptoDB.org/common/downloads/release-42/CspchipmunkLX2015/gff/data/CryptoDB-42_CspchipmunkLX2015.gff,42,Cryptosporidium sp. chipmunk LX-2015,1603071,TRUE,CryptoDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Cryptosporidium,BSGenome.Cryptosporidium.sp.chipmunk.LX.2015.v42,GRanges.Cryptosporidium.sp.chipmunk.LX.2015.v42.rda,cryptodb.Cryptosporidium.sp.chipmunk.LX.2015.v42,org.Csp.chipmunk.LX.2015.v42.eg.db,TxDb.Cryptosporidium.sp.chipmunk.LX.2015.CryptoDB.v42,chipmunk.LX.2015,Cryptosporidium sp chipmunk LX 2015,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Cryptosporidium.sp.chipmunk.LX.2015.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Cryptosporidium.sp.chipmunk.LX.2015.v42.rda,EuPathDB/OrganismDbi/v3.9/cryptodb.Cryptosporidium.sp.chipmunk.LX.2015.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Csp.chipmunk.LX.2015.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Cryptosporidium.sp.chipmunk.LX.2015.CryptoDB.v42.sqlite,Cryptosporidium sp. chipmunk LX-2015,Transcript information for Cryptosporidium sp chipmunk LX 2015,CryptoDB 42 transcript information for Cryptosporidium sp chipmunk LX 2015,GRanges,GRanges,GRanges.Cryptosporidium.sp.chipmunk.LX.2015.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Cryptosporidium.sp.chipmunk.LX.2015.v42.rda
v3.9,FungiDB-44_AmutatusUAMH3576,NA,NA,GFF,http://FungiDB.org/common/downloads/release-42/AmutatusUAMH3576/gff/data/FungiDB-42_AmutatusUAMH3576.gff,42,Amauroascus mutatus,113399,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Fungus:Fungi,BSGenome.Amauroascus.mutatus.isolate.UAMH.3576.v42,GRanges.Amauroascus.mutatus.isolate.UAMH.3576.v42.rda,fungidb.Amauroascus.mutatus.isolate.UAMH.3576.v42,org.Amutatus.isolate.UAMH.3576.v42.eg.db,TxDb.Amauroascus.mutatus.isolate.UAMH.3576.FungiDB.v42,isolate.UAMH.3576,Amauroascus mutatus isolate UAMH 3576,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Amauroascus.mutatus.isolate.UAMH.3576.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Amauroascus.mutatus.isolate.UAMH.3576.v42.rda,EuPathDB/OrganismDbi/v3.9/fungidb.Amauroascus.mutatus.isolate.UAMH.3576.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Amutatus.isolate.UAMH.3576.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Amauroascus.mutatus.isolate.UAMH.3576.FungiDB.v42.sqlite,Amauroascus mutatus isolate UAMH 3576,Transcript information for Amauroascus mutatus isolate UAMH 3576,FungiDB 42 transcript information for Amauroascus mutatus isolate UAMH 3576,GRanges,GRanges,GRanges.Amauroascus.mutatus.isolate.UAMH.3576.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Amauroascus.mutatus.isolate.UAMH.3576.v42.rda
v3.9,FungiDB-44_AmnigerUAMH3544,NA,NA,GFF,http://FungiDB.org/common/downloads/release-42/AmnigerUAMH3544/gff/data/FungiDB-42_AmnigerUAMH3544.gff,42,Amauroascus niger,89421,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Fungus:Fungi,BSGenome.Amauroascus.niger.isolate.UAMH.3544.v42,GRanges.Amauroascus.niger.isolate.UAMH.3544.v42.rda,fungidb.Amauroascus.niger.isolate.UAMH.3544.v42,org.Aniger.isolate.UAMH.3544.v42.eg.db,TxDb.Amauroascus.niger.isolate.UAMH.3544.FungiDB.v42,isolate.UAMH.3544,Amauroascus niger isolate UAMH 3544,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Amauroascus.niger.isolate.UAMH.3544.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Amauroascus.niger.isolate.UAMH.3544.v42.rda,EuPathDB/OrganismDbi/v3.9/fungidb.Amauroascus.niger.isolate.UAMH.3544.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Aniger.isolate.UAMH.3544.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Amauroascus.niger.isolate.UAMH.3544.FungiDB.v42.sqlite,Amauroascus niger isolate UAMH 3544,Transcript information for Amauroascus niger isolate UAMH 3544,FungiDB 42 transcript information for Amauroascus niger isolate UAMH 3544,GRanges,GRanges,GRanges.Amauroascus.niger.isolate.UAMH.3544.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Amauroascus.niger.isolate.UAMH.3544.v42.rda
v3.9,FungiDB-44_AnigerATCC13496,12468,11822,GFF,http://FungiDB.org/common/downloads/release-42/AnigerATCC13496/gff/data/FungiDB-42_AnigerATCC13496.gff,42,Aspergillus niger ATCC 13496,1353008,TRUE,FungiDB,Keith Hughitt <khughitt@umd.edu>,Annotation:EuPathDB:Eukaryote:Pathogen:Parasite:Fungus:Fungi,BSGenome.Aspergillus.niger.ATCC.13496.v42,GRanges.Aspergillus.niger.ATCC.13496.v42.rda,fungidb.Aspergillus.niger.ATCC.13496.v42,org.Aniger.ATCC.13496.v42.eg.db,TxDb.Aspergillus.niger.ATCC.13496.FungiDB.v42,ATCC.13496,Aspergillus niger ATCC 13496,NA,NA,EuPathDB/BSgenome/v3.9/BSGenome.Aspergillus.niger.ATCC.13496.v42/single_sequences.2bit,EuPathDB/GRanges/v3.9/GRanges.Aspergillus.niger.ATCC.13496.v42.rda,EuPathDB/OrganismDbi/v3.9/fungidb.Aspergillus.niger.ATCC.13496.v42/graphInfo.rda,EuPathDB/OrgDb/v3.9/org.Aniger.ATCC.13496.v42.eg.sqlite,EuPathDB/TxDb/v3.9/TxDb.Aspergillus.niger.ATCC.13496.FungiDB.v42.sqlite,Aspergillus niger ATCC 13496,Transcript information for Aspergillus niger ATCC 13496,FungiDB 42 transcript information for Aspergillus niger ATCC 13496,GRanges,GRanges,GRanges.Aspergillus.niger.ATCC.13496.v42.rda,EuPathDB/GRanges/v3.9/GRanges.Aspergillus.niger.ATCC.13496.v42.rda
